Timestamp,GPU_Util(%),Memory_Used(MiB),Memory_Total(MiB),Power(W),Temp(C)
1763736836.247859225,0, 13, 6144, 15.92, 52
1763736836.775423431,0, 13, 6144, 15.91, 52
1763736837.310912244,0, 13, 6144, 15.89, 52
1763736837.840083986,0, 13, 6144, 15.89, 52
1763736838.371722631,0, 13, 6144, 15.91, 52
1763736838.902867089,0, 13, 6144, 15.91, 52
1763736839.438335931,0, 13, 6144, 15.96, 52
1763736839.971279920,0, 13, 6144, 15.96, 52
1763736840.503515706,0, 13, 6144, 15.97, 52
1763736841.033628184,0, 13, 6144, 15.97, 52
1763736841.565513078,0, 13, 6144, 15.94, 52
1763736842.094184555,0, 13, 6144, 15.94, 52
1763736842.623582789,0, 13, 6144, 15.92, 52
